plazo_dias,valor
1,11.185
2,11.189754440000002
3,11.19450887
4,11.199263310000001
5,11.20401774
6,11.20877218
7,11.21352661
8,11.21828105
9,11.22303549
10,11.227789920000001
11,11.23254436
12,11.23729879
13,11.24205323
14,11.24680766
15,11.2515621
16,11.256316530000001
17,11.26107097
18,11.26582541
19,11.27057984
20,11.275334280000001
21,11.28008871
22,11.28484315
23,11.28959758
24,11.29435202
25,11.299106459999999
26,11.303860890000001
27,11.30861533
28,11.31336976
29,11.3181242
30,11.32287863
31,11.32763307
32,11.33238751
33,11.33714194
34,11.34189638
35,11.34665081
36,11.351405250000001
37,11.35581596
38,11.36022668
39,11.3646374
40,11.36904811
41,11.373458829999999
42,11.37786954
43,11.38228026
44,11.38669098
45,11.39110169
46,11.39551241
47,11.39992312
48,11.40433384
49,11.40874455
50,11.41315527
51,11.41756599
52,11.4219767
53,11.426387420000001
54,11.43079813
55,11.43520885
56,11.43961957
57,11.44403028
58,11.448440999999999
59,11.452851710000001
60,11.45726243
61,11.46167315
62,11.46608386
63,11.47049458
64,11.474905289999999
65,11.47931601
66,11.48372673
67,11.48813744
68,11.49254816
69,11.49695887
70,11.501369590000001
71,11.505780309999999
72,11.51019102
73,11.51460174
74,11.51901245
75,11.52342317
76,11.52783389
77,11.5322446
78,11.53665532
79,11.54106603
80,11.54547675
81,11.54988747
82,11.55429818
83,11.558708900000001
84,11.56311961
85,11.56753033
86,11.57194104
87,11.57635176
88,11.580762479999999
89,11.58517319
90,11.58958391
91,11.59399462
92,11.59840534
93,11.60281606
94,11.607226769999999
95,11.61163749
96,11.6160482
97,11.62045892
98,11.62370521
99,11.62695151
100,11.6301978
101,11.633444090000001
102,11.63669039
103,11.63993668
104,11.64318297
105,11.64642927
106,11.64967556
107,11.65292185
108,11.65616815
109,11.65941444
110,11.66266073
111,11.66590703
112,11.66915332
113,11.672399610000001
114,11.67564591
115,11.6788922
116,11.68213849
117,11.68538479
118,11.68863108
119,11.69187737
120,11.695123670000001
121,11.69836996
122,11.70161625
123,11.70486255
124,11.708108840000001
125,11.71135513
126,11.71460143
127,11.71784772
128,11.72109401
129,11.72434031
130,11.7275866
131,11.73083289
132,11.734079190000001
133,11.737325479999999
134,11.740571769999999
135,11.743818059999999
136,11.74706436
137,11.75031065
138,11.75355694
139,11.75680324
140,11.76004953
141,11.76329582
142,11.766542119999999
143,11.76978841
144,11.7730347
145,11.776280999999999
146,11.779527289999999
147,11.78277358
148,11.78601988
149,11.78926617
150,11.79251246
151,11.79575876
152,11.79900505
153,11.80225134
154,11.80549764
155,11.80874393
156,11.81199022
157,11.81523652
158,11.81848281
159,11.8217291
160,11.8249754
161,11.82822169
162,11.831467980000001
163,11.83471428
164,11.83796057
165,11.84120686
166,11.84445316
167,11.84769945
168,11.85094574
169,11.854192040000001
170,11.85743833
171,11.86068462
172,11.86393092
173,11.86717721
174,11.870423500000001
175,11.8736698
176,11.87691609
177,11.88016238
178,11.88340868
179,11.88665497
180,11.88990126
181,11.893147560000001
182,11.89639385
183,11.899640139999999
184,11.90288644
185,11.906132730000001
186,11.90937902
187,11.91262532
188,11.91587161
189,11.9191179
190,11.922193009999999
191,11.92526812
192,11.928343230000001
193,11.93141834
194,11.93449345
195,11.93756856
196,11.94064367
197,11.94371878
198,11.94679389
199,11.949868989999999
200,11.9529441
201,11.956019210000001
202,11.95909432
203,11.96216943
204,11.96524454
205,11.96831965
206,11.971394759999999
207,11.97446987
208,11.977544980000001
209,11.98062009
210,11.9836952
211,11.98677031
212,11.98984542
213,11.99292052
214,11.99599563
215,11.999070739999999
216,12.00214585
217,12.00522096
218,12.00829607
219,12.01137118
220,12.01444629
221,12.0175214
222,12.02059651
223,12.02367162
224,12.02674673
225,12.02982184
226,12.03289695
227,12.03597205
228,12.03904716
229,12.04212227
230,12.04519738
231,12.04827249
232,12.0513476
233,12.054422709999999
234,12.05749782
235,12.060572930000001
236,12.06364804
237,12.06672315
238,12.06979826
239,12.07287337
240,12.07594848
241,12.079023580000001
242,12.08209869
243,12.0851738
244,12.08824891
245,12.09132402
246,12.09439913
247,12.09747424
248,12.100549350000001
249,12.103624459999999
250,12.10669957
251,12.109774680000001
252,12.11284979
253,12.1159249
254,12.119
255,12.122075109999999
256,12.12515022
257,12.128225330000001
258,12.131300439999999
259,12.13437555
260,12.13745066
261,12.14052577
262,12.14360088
263,12.14667599
264,12.1497511
265,12.15282621
266,12.15590132
267,12.15897643
268,12.16205153
269,12.16512664
270,12.16820175
271,12.171276859999999
272,12.17435197
273,12.17742708
274,12.18050219
275,12.1835773
276,12.18665241
277,12.18972752
278,12.192802630000001
279,12.19587774
280,12.19750097
281,12.199124209999999
282,12.20074745
283,12.202370680000001
284,12.20399392
285,12.20561716
286,12.20724039
287,12.20886363
288,12.210486869999999
289,12.212110110000001
290,12.213733340000001
291,12.21535658
292,12.21697982
293,12.21860305
294,12.22022629
295,12.22184953
296,12.22347276
297,12.225096
298,12.22671924
299,12.228342470000001
300,12.22996571
301,12.231588949999999
302,12.23321218
303,12.23483542
304,12.23645866
305,12.23808189
306,12.23970513
307,12.24132837
308,12.24295161
309,12.24457484
310,12.24619808
311,12.24782132
312,12.24944455
313,12.25106779
314,12.25269103
315,12.254314260000001
316,12.2559375
317,12.257560739999999
318,12.25918397
319,12.260807210000001
320,12.26243045
321,12.26405368
322,12.26567692
323,12.26730016
324,12.26892339
325,12.27054663
326,12.27216987
327,12.27379311
328,12.27541634
329,12.27703958
330,12.27866282
331,12.28028605
332,12.28190929
333,12.28353253
334,12.285155759999999
335,12.286779000000001
336,12.28840224
337,12.29002547
338,12.29164871
339,12.29327195
340,12.29489518
341,12.29651842
342,12.29814166
343,12.29976489
344,12.30138813
345,12.30301137
346,12.304634609999999
347,12.306257839999999
348,12.30788108
349,12.30950432
350,12.31112755
351,12.31275079
352,12.31437403
353,12.31599726
354,12.3176205
355,12.31924374
356,12.320866969999999
357,12.32249021
358,12.32411345
359,12.32573668
360,12.32735992
361,12.32898316
362,12.33060639
363,12.332229629999999
364,12.333852870000001
365,12.33547611
366,12.33709934
367,12.33872258
368,12.34034582
369,12.34196905
370,12.34359229
371,12.34389017
372,12.34418806
373,12.34448594
374,12.34478382
375,12.34508171
376,12.34537959
377,12.34567747
378,12.34597536
379,12.34627324
380,12.34657112
381,12.34686901
382,12.34716689
383,12.34746477
384,12.34776266
385,12.34806054
386,12.348358430000001
387,12.34865631
388,12.34895419
389,12.349252080000001
390,12.349549960000001
391,12.34984784
392,12.350145730000001
393,12.350443610000001
394,12.35074149
395,12.351039380000001
396,12.351337260000001
397,12.35163514
398,12.35193303
399,12.352230910000001
400,12.352528790000001
401,12.35282668
402,12.353124560000001
403,12.35342245
404,12.35372033
405,12.354018210000001
406,12.3543161
407,12.35461398
408,12.35491186
409,12.35520975
410,12.35550763
