ISIN,NOM,NAM,SECTOR,GLOBAL,US EQUITY,EUROPEAN EQUITY +  UK,JAPON EQUITY,EM GLOBAL,EM ASIAN EQUITY,LATIN AMERICAN EQUITY,ALTERNATIVE,TOTAL,ORO,PLATA,REAL ESTATE,CONTROL,RIESGO,USD,EUR,JPY,CAD,GBP,MXN,BRL,AUD,COP,TOTAL,,,,,,,,,,,,,,,
LU0106259988,SCHRODERS ASIAN OPPORTUNITIES Ex Japan,FM Asia,EM ASIAN EQUITY,0,0,0,0,0,1,0,0,1,0,0,0,1,USD,0.12938023437572363,0,0,0,0.021686339738192017,0.1427659701104817,0,0.7061674557756029,0,1.0000000000000002,,,,,,,,,,,,,,,
US4642881829,iShares MSCI All Country Asia ex japan,ETF EM Asia,EM ASIAN EQUITY,0,0,0,0,0,1,0,0,1,0,0,0,1,USD,0.0330601691402287,0,0,0,0,0.1809354462151895,0,0.7860043846445813,0,0.9999999999999996,,,,,,,,,,,,,,,
US4642871846,iShares FTSE China 50 Large Cap,ETF China,EM ASIAN EQUITY,0,0,0,0,0,1,0,0,1,0,0,0,1,USD,0.0003008366768800099,0,0,0,0,0,0,0.9996991633231198,0,0.9999999999999998,,,,,,,,,,,,,,,
LU0181996454,Franklin Templeton Asian Growth,FM EM Asia,EM ASIAN EQUITY,0,0,0,0,0,1,0,0,1,0,0,0,1,USD,0.06625165387388139,0,0,0,0,0.27103005134825126,0,0.6627182947778671,0,0.9999999999999998,,,,,,,,,,,,,,,
US4642867729,iShares MSCI South Korea Index,ETF EM Asia,EM ASIAN EQUITY,0,0,0,0,0,1,0,0,1,0,0,0,1,USD,0.0003376242577977815,0,0,0,0,0,0,0.9996623757422022,0,1,,,,,,,,,,,,,,,
LU0244355391,Schroders China Opportunities,FM China,EM ASIAN EQUITY,0,0,0,0,0,1,0,0,1,0,0,0,1,USD,0.06189579490423536,0,0,0,0,0,0,0.9381042050957648,0,1,,,,,,,,,,,,,,,
US5771308344,MATTHEWS PACIFIC TIGER FUND  FD-IS-MIPTX US,FM EM Asia,EM ASIAN EQUITY,0,0,0,0,0,1,0,0,1,0,0,0,1,USD,0.0618514112945026,0,0,0,0,0.16957905556438324,0,0.7685695331411142,0,1,,,,,,,,,,,,,,,
LU0100600369,INVESCO GREATER CHINA EQUITY F-INVPGCC LX,FM China,EM ASIAN EQUITY,0,0,0,0,0,1,0,0,1,0,0,0,1,USD,0.11843686200364728,0,0,0,0,0,0,0.8815631379963527,0,1,,,,,,,,,,,,,,,
LU0594300500,Fidelity FF China Consumer Fund,FM China,EM ASIAN EQUITY,0,0,0,0,0,1,0,0,1,0,0,0,1,USD,0.10174444166203313,0.0368873461137686,0,0,0,0,0,0.8613682122241983,0,1,,,,,,,,,,,,,,,
LU0231479717,Aberdeen Emerging Markets Equity Fund I,FM EM Global,EM EQUITY,0,0,0,0,1,0,0,0,1,0,0,0,1,USD/MXN/BRL,0.03627851237174769,0.022722778531270946,0.027743270819745983,0.017819757781171425,0,0.22321305804830946,0.027599289273002765,0.6446233331747515,0,0.9999999999999998,,,,,,,,,,,,,,,
