isin,nemo,frecuencia,moneda
COB51CB00262,BDVI02109C7,TV,COP
COB51CB00379,BDVI0219C126,TV,COP
COB51CB00445,BDVI1139C12,TV,COP
COB51CB00452,BDVI1139C18,TV,COP
COB51CB00411,BDVI3129C180,TV,COP
COB23CB00691,BBOC07149B10,TV,COP
COB23CB00527,BBOC03119B10,SV,COP
COB23CB00519,BBOC03119B5,SV,COP
COB23CB00253,BLOC1099C4TV,TV,COP
COB23CB00683,BBOC07149B07,TV,COP
COB23CB00600,BBOC01129B10,TV,COP
COB23CB00592,BBOC01129B15,TV,COP
COB23CB00576,BBOC04129B10,TV,COP
COB23CB00568,BBOC04129BS7,TV,COP
COB23CB00618,BBOC6139BS12,TV,COP
COB02CB00380,BBPO10159C05,TV,COP
COB02CB00323,BBPO011309C2,TV,COP
COB02CB00331,BBPO011309C5,TV,COP
COB02CB00265,BBPO06129C5,TV,COP
COB02CB00299,BBPO07139C7,TV,COP
COB02CB00240,BBPO05129C5,TV,COP
COB13CB00239,BBGA3149G240,TV,COP
COB13CB00197,BBGA01119G18,TV,COP
COB13CB00221,BBGA2139180,TV,COP
COQ52CB00011,BBCI1069AVA,SV,COP
COT60CB00034,BCLI01139D12,TV,COP
COT60CB00018,BCLI01139D20,TV,COP
COD38CB00166,BCCB03149C15,TV,COP
COD38CB00034,BCCB1059AVC,SV,COP
COD38CB00141,BCCB01129C15,TV,COP
COE26CB00102,BCOS01109B6,TV,COP
COE26CB00037,BCOS1079A10A,TV,COP
COD48CB00033,BCOL1099A10,SV,COP
COD48CB00017,BCOL1079A10A,TV,COP
COE21CB00129,BCHB01139B6,TV,COP
COE21CB00087,BEMG1099B12,TV,COP
COV05CB00027,BFDI01109B,TV,COP
COV05CB00035,BFDI01109C,TV,COP
COT13CB00025,BSIS01099C20,TV,COP
COT13CB00033,BSIS1099C40,TV,COP
COE09CB00041,BGAO01129A10,TV,COP
COE09CB00058,BGAO01129A20,TV,COP
COE09CB00033,BGAO0199A7,TV,COP
COT29CB00088,BGAA1099A15,TV,COP
COJ49CB00376,BLGC03119D12,TV,COP
COJ49CB00236,BLGC01119D10,TV,COP
COJ49CB00301,BLGC0219D10,TV,COP
COJ49CB00384,BLGC04139C4,TV,COP
COJ49CB00400,BLGC04139C8,TV,COP
COJ49CB00467,BLGC06159C05,TV,COP
COJ49CB00426,BLGC05149D10,TV,COP
COF09CB00055,BPIN1099A10,TV,COP
COI04CB00118,BPMG01159A04,TV,COP
COI04CB00126,BPMG01159A15,TV,COP
COI04CB00092,BPMG01139A20,TV,COP
COI04CB00050,BPMG1099C15,TV,COP
COI04CB00076,BPMG01099C10,TV,COP
COJ10CB00022,BSFN01139C5,TV,COP
COT23CB00024,BSOB01149C20,TV,COP
COE13CB00027,BSOG1139A20,TV,COP
COG20CB00068,BTPL01159D15,TV,COP
COG20CB00035,BTPL01139C10,TV,COP
COG20CB00043,BTPL01139C18,TV,COP
COG20CB00019,BTPL01139C5,TV,COP
COB01CB00085,BBBO01107BS1,AV,UVR
COL17CB172C9,BPEMINHTA3,PV,COP
COL40CB0DZI9,BPEISSA4,PV,COP
COL40CB0E942,BPEISSA4,PV,COP
COL40CB0E629,BPEISSA3,PV,COP
COL40CB0EIH5,BPEISSA4,PV,COP
COL40CB0CIV0,BPEISSA4,PV,COP
COL40CB0E9O4,BPEISSA4,PV,COP
COL40CB0DGS8,BPEISSA4,PV,COP
COL17CB0Z7U8,BPEMINHTA4,PV,COP
COL17CB0ZJH7,BPEMINHTA4,PV,COP
COL40CB0EPN8,BPEISSA4,PV,COP
COL17CB0ZA61,BPEMINHTA4,PV,COP
COL40CB00PC1,BPEMINHTA4,PV,COP
COL17CB0S3E0,BPEMINHTA4,PV,COP
COL40CB0EZ02,BPEISSA4,PV,COP
COL40CB055H6,BPEMINHTA4,PV,COP
COL17CB0ZGI1,BPEMINHTA4,PV,COP
COL40CB0EZ69,BPEISSA4,PV,COP
COL40CB0C706,BPEISSA4,PV,COP
COL40CB0FLK0,BPEISSA3,PV,COP
COL40CB0ES68,BPEISSA4,PV,COP
COL40CB044M0,BPEMINHTA4,PV,COP
COL40CB0FJW9,BPEISSA4,PV,COP
COL40CB0EOV4,BPEISSA4,PV,COP
COL40CB053J7,BPEMINHTA4,PV,COP
COL40CB0F5D4,BPEISSA4,PV,COP
COL40CB0F1Y9,BPEISSA4,PV,COP
COL40CB05CZ9,BPEMINHTA4,PV,COP
COL17CB0ZRF4,BPEMINHTA4,PV,COP
COL40CB0EES1,BPEISSA4,PV,COP
COL40CB0FBX4,BPEISSA4,PV,COP
COL40CB0FLF0,BPEISSA4,PV,COP
COL40CB0DWQ9,BPEISSA4,PV,COP
COL40CB0DTV5,BPEISSA4,PV,COP
COL40CB0EVD7,BPEISSA4,PV,COP
COL40CB052A8,BPEMINHTA4,PV,COP
COL40CB0FNB5,BPEISSA4,PV,COP
COL40CB0C9T5,BPEISSA4,PV,COP
COL40CB05BP2,BPEMINHTA4,PV,COP
COL40CB0EUQ1,BPEISSA4,PV,COP
COL40CB0DV72,BPEISSA4,PV,COP
COL40CB065A0,BPEISSA4,PV,COP
COL17CB11AB0,BPEMINHTA4,PV,COP
COL40CB0C714,BPEISSA4,PV,COP
COL17CB1C4U1,BPEMINHTA4,PV,COP
COL40CB0A0U4,BPEISSA4,PV,COP
COL17CB189G4,BPEMINHTA4,PV,COP
COL40CB0BMO9,BPEISSA4,PV,COP
COL17CB1B4M9,BPEMINHTA4,PV,COP
COL40CB0ENR4,BPEISSA3,PV,COP
COL40CB0C5I6,BPEISSA4,PV,COP
COL40CB0BLB8,BPEISSA4,PV,COP
COL40CB0BP80,BPEISSA4,PV,COP
COL40CB0C3L5,BPEISSA4,PV,COP
COL17CB1A9H9,BPEMINHTA3,PV,COP
COL40CB0C5H8,BPEISSA4,PV,COP
COL40CB0BXX7,BPEISSA4,PV,COP
COL40CB0D7L5,BPEISSA3,PV,COP
COL40CB0CXK2,BPEISSA4,PV,COP
COL40CB0D589,BPEISSA4,PV,COP
COL17CB19FO5,BPEMINHTA4,PV,COP
