nemo_o_isin,clase_inversion,moneda,tasa_facial,ubicacion,clasificacion,riesgo,clase
CA14068G1046,Acciones Internacionales,CAD,N/A,INTERNACIONAL,R VARIABLE,VARIABLE,R VARIABLE
US1921085049,Acciones Internacionales,USD,N/A,INTERNACIONAL,R VARIABLE,VARIABLE,R VARIABLE
CA3809564097,Acciones Internacionales,CAD,N/A,INTERNACIONAL,R VARIABLE,VARIABLE,R VARIABLE
CA4969024047,Acciones Internacionales,CAD,N/A,INTERNACIONAL,R VARIABLE,VARIABLE,R VARIABLE
CA6979001089,Acciones Internacionales,CAD,N/A,INTERNACIONAL,R VARIABLE,VARIABLE,R VARIABLE
CA69946Q1046,Acciones Internacionales,CAD,N/A,INTERNACIONAL,R VARIABLE,VARIABLE,R VARIABLE
CA8283361076,Acciones Internacionales,CAD,N/A,INTERNACIONAL,R VARIABLE,VARIABLE,R VARIABLE
AOPF5 AH 3547 COLPATRIA,VISTA,COP,TASA FIJA,NACIONAL,CAJA,VARIABLE,CAJA
AOPF5 AH B BANCOLOMBIA,VISTA,COP,TASA FIJA,NACIONAL,CAJA,VARIABLE,CAJA
AOPF5 AH B BOGOTA,VISTA,COP,TASA FIJA,NACIONAL,CAJA,VARIABLE,CAJA
AOPF5 AH B CITIBANK,VISTA,COP,TASA FIJA,NACIONAL,CAJA,VARIABLE,CAJA
AOPF5 AH B CORPBANCA,VISTA,COP,TASA FIJA,NACIONAL,CAJA,VARIABLE,CAJA
AOPF5 AH B DAVIVIENDA,VISTA,COP,TASA FIJA,NACIONAL,CAJA,VARIABLE,CAJA
AOPF5 AH B OCCIDENTE,VISTA,COP,TASA FIJA,NACIONAL,CAJA,VARIABLE,CAJA
AOPF5 AH B SUDAMERIS,VISTA,COP,TASA FIJA,NACIONAL,CAJA,VARIABLE,CAJA
AOPF5 AH BCO BBVA,VISTA,COP,TASA FIJA,NACIONAL,CAJA,VARIABLE,CAJA
AOPF5 AH COLPATRIA,VISTA,COP,TASA FIJA,NACIONAL,CAJA,VARIABLE,CAJA
MX0MGO0000R8,EM BONDS,MXN,TASA FIJA,INTERNACIONAL,R FIJA,TASA FIJA,R FIJA
MX0SGO000098,EM BONDS,MXN,TASA FIJA,INTERNACIONAL,R FIJA,TASA FIJA,R FIJA
US05968LAG77,EM CORPORATIVOS,USD,TASA FIJA,INTERNACIONAL,R FIJA,TASA FIJA,R FIJA
USP09252AC47,EM CORPORATIVOS,USD,TASA FIJA,INTERNACIONAL,R FIJA,TASA FIJA,R FIJA
USP16259AH99,EM CORPORATIVOS,USD,TASA FIJA,INTERNACIONAL,R FIJA,TASA FIJA,R FIJA
USG0732RAG32,EM CORPORATIVOS,USD,TASA FIJA,INTERNACIONAL,R FIJA,TASA FIJA,R FIJA
USG0732RAF58,EM CORPORATIVOS,USD,TASA FIJA,INTERNACIONAL,R FIJA,TASA FIJA,R FIJA
US279158AC30,EM CORPORATIVOS,USD,TASA FIJA,INTERNACIONAL,R FIJA,TASA FIJA,R FIJA
US279158AL39,EM CORPORATIVOS,USD,TASA FIJA,INTERNACIONAL,R FIJA,TASA FIJA,R FIJA
USG42045AA58,EM CORPORATIVOS,USD,TASA FIJA,INTERNACIONAL,R FIJA,TASA FIJA,R FIJA
USG42045AB32,EM CORPORATIVOS,USD,TASA FIJA,INTERNACIONAL,R FIJA,TASA FIJA,R FIJA
USP1342SAC00,EM CORPORATIVOS,USD,TASA FIJA,INTERNACIONAL,R FIJA,TASA FIJA,R FIJA
US46556MAH51,EM CORPORATIVOS,USD,TASA FIJA,INTERNACIONAL,R FIJA,TASA FIJA,R FIJA
USP3083SAC90,GLOBAL CORPORATIVOS,USD,TASA FIJA,INTERNACIONAL,R FIJA,TASA FIJA,R FIJA
BBOC07148D03,Variable-CORPORATIVO LOCAL,COP,IBR,NACIONAL,R FIJA,VARIABLE,R FIJA
BBPO09148D3,Variable-CORPORATIVO LOCAL,COP,IBR,NACIONAL,R FIJA,VARIABLE,R FIJA
BBPO09148D2,Variable-CORPORATIVO LOCAL,COP,IBR,NACIONAL,R FIJA,VARIABLE,R FIJA
BFAN04148D24,Variable-CORPORATIVO LOCAL,COP,IBR,NACIONAL,R FIJA,VARIABLE,R FIJA
BFAN04148D36,Variable-CORPORATIVO LOCAL,COP,IBR,NACIONAL,R FIJA,VARIABLE,R FIJA
BSIS01148E02,Variable-CORPORATIVO LOCAL,COP,IBR,NACIONAL,R FIJA,VARIABLE,R FIJA
BLGC05148E3,Variable-CORPORATIVO LOCAL,COP,IBR,NACIONAL,R FIJA,VARIABLE,R FIJA
BSFN01138B3,Variable-CORPORATIVO LOCAL,COP,IBR,NACIONAL,R FIJA,VARIABLE,R FIJA
BFAN0414SA30,CORPORATIVO LOCAL,COP,TASA FIJA,NACIONAL,R FIJA,TASA FIJA,R FIJA
BDVI0815SF36,CORPORATIVO LOCAL,COP,TASA FIJA,NACIONAL,R FIJA,TASA FIJA,R FIJA
BBOC0815SA02,CORPORATIVO LOCAL,COP,TASA FIJA,NACIONAL,R FIJA,TASA FIJA,R FIJA
BBPO1015SB02,CORPORATIVO LOCAL,COP,TASA FIJA,NACIONAL,R FIJA,TASA FIJA,R FIJA
BARG0112SA3,CORPORATIVO LOCAL,COP,TASA FIJA,NACIONAL,R FIJA,TASA FIJA,R FIJA
BCCB0314SA02,CORPORATIVO LOCAL,COP,TASA FIJA,NACIONAL,R FIJA,TASA FIJA,R FIJA
USP3703CAA82,TES GLOBAL,COP,TASA FIJA,NACIONAL,R FIJA,TASA FIJA,R FIJA
USP9379RAV98,TES GLOBAL,COP,TASA FIJA,NACIONAL,R FIJA,TASA FIJA,R FIJA
USP40420AA25,TES GLOBAL,COP,TASA FIJA,NACIONAL,R FIJA,TASA FIJA,R FIJA
BLGC0111SA10,CORPORATIVO LOCAL,COP,TASA FIJA,NACIONAL,R FIJA,TASA FIJA,R FIJA
BLGC0311SA6,CORPORATIVO LOCAL,COP,TASA FIJA,NACIONAL,R FIJA,TASA FIJA,R FIJA
BLGC210SA10,CORPORATIVO LOCAL,COP,TASA FIJA,NACIONAL,R FIJA,TASA FIJA,R FIJA
BTPL0113SVA7,CORPORATIVO LOCAL,COP,TASA FIJA,NACIONAL,R FIJA,TASA FIJA,R FIJA
BAVA01099B,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BAVA01099C,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BBCB1099B15,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BBCB3079C10,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BBCB01149D20,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BBCB01149D15,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BBCB01109D8,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BBCB02109D15,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BBCB03119D12,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BBCB03119D15,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BBSA110BAVA,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BBSA1139AS10,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BBCR3119B84,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BDVI06149C60,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BDVI1099G7,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BDVI07149C60,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BDVI29C180,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BDVI02109C7,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BDVI0219C126,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BDVI1139C12,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BDVI1139C18,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BDVI3129C180,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BBOC07149B10,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BBOC03119B10,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BBOC03119B5,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BLOC1099C4TV,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BBOC07149B07,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BBOC01129B10,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BBOC01129B15,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BBOC04129B10,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BBOC04129BS7,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BBOC6139BS12,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BBPO10159C05,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BBPO011309C5,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BBPO06129C5,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BBPO07139C7,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BBPO05129C5,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BBGA3149G240,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BBGA01119G18,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BBGA2139180,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BCLI01139D12,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BCLI01139D20,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BCCB03149C15,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BCCB1059AVC,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BCCB01129C15,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BCOS01109B6,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BCOS1079A10A,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BCOL1099A10,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BCOL1079A10A,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BCHB01139B6,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BEMG1099B12,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BFDI01109B,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BFDI01109C,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BSIS01099C20,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BSIS1099C40,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BGAO01129A10,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BGAO01129A20,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BGAO0199A7,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BGAA1099A15,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BLGC03119D12,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BLGC01119D10,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BLGC0219D10,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BLGC04139C4,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BLGC04139C8,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BLGC06159C05,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BLGC05149D10,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BPIN1099A10,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BPMG01159A04,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BPMG01159A15,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BPMG01139A20,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BPMG1099C15,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BPMG01099C10,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BSFN01139C5,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BSOB01149C20,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BSOG1139A20,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BTPL01159D15,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BTPL01139C10,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BTPL01139C18,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BTPL01139C5,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BBBO01107BS1,Inflacion-CORPORATIVO LOCAL,UVR,TASA FIJA,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BPEMINHTA3,Bono Pensional,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BPEISSA4,Bono Pensional,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BPEISSA3,Bono Pensional,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BPEMINHTA4,Bono Pensional,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BDCU10792A,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BECO01109A10,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BECO01109A30,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BECO01109A7,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BECO1139C15,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BECO1139C30,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BEPM05139A20,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BEPM01109A20,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BEPM07159A05,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BEPM07159A12,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BEPM1089A10,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BEPM06149A20,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BISA07049A,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BISA01139VC1,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BISA07049B,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BISA4049VA,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BMME01149A30,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BTSE01119A15,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BTSE104D9A,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
SPAT1097D67,Inflacion-CORPORATIVO LOCAL,UVR,TASA FIJA,NACIONAL,R FIJA,INFLACIÓN,R FIJA
SPAT1097D74,Inflacion-CORPORATIVO LOCAL,UVR,TASA FIJA,NACIONAL,R FIJA,INFLACIÓN,R FIJA
SPAT5097D56,Inflacion-CORPORATIVO LOCAL,UVR,TASA FIJA,NACIONAL,R FIJA,INFLACIÓN,R FIJA
CDTDVI80,Variable-CORPORATIVO LOCAL,COP,IBR,NACIONAL,R FIJA,VARIABLE,R FIJA
CDTBOC80P,Variable-CORPORATIVO LOCAL,COP,IBR,NACIONAL,R FIJA,VARIABLE,R FIJA
CDTBSC80,Variable-CORPORATIVO LOCAL,COP,IBR,NACIONAL,R FIJA,VARIABLE,R FIJA
CDTBGA80,Variable-CORPORATIVO LOCAL,COP,IBR,NACIONAL,R FIJA,VARIABLE,R FIJA
CDTBBO80,Variable-CORPORATIVO LOCAL,COP,IBR,NACIONAL,R FIJA,VARIABLE,R FIJA
CDTFAL80,Variable-CORPORATIVO LOCAL,COP,IBR,NACIONAL,R FIJA,VARIABLE,R FIJA
CDTCFC80,Variable-CORPORATIVO LOCAL,COP,IBR,NACIONAL,R FIJA,VARIABLE,R FIJA
CDTFDT80,Variable-CORPORATIVO LOCAL,COP,IBR,NACIONAL,R FIJA,VARIABLE,R FIJA
CDTLGC80,Variable-CORPORATIVO LOCAL,COP,IBR,NACIONAL,R FIJA,VARIABLE,R FIJA
CDTFANS0V,CORPORATIVO LOCAL,COP,TASA FIJA,NACIONAL,R FIJA,TASA FIJA,R FIJA
CDTBCBS0V,CORPORATIVO LOCAL,COP,TASA FIJA,NACIONAL,R FIJA,TASA FIJA,R FIJA
CDTBBOS0V,CORPORATIVO LOCAL,COP,TASA FIJA,NACIONAL,R FIJA,TASA FIJA,R FIJA
CDTBSAS0V,CORPORATIVO LOCAL,COP,TASA FIJA,NACIONAL,R FIJA,TASA FIJA,R FIJA
CDTDVIS0V,CORPORATIVO LOCAL,COP,TASA FIJA,NACIONAL,R FIJA,TASA FIJA,R FIJA
CDTIVCS0V,CORPORATIVO LOCAL,COP,TASA FIJA,NACIONAL,R FIJA,TASA FIJA,R FIJA
CDTMIAS0VD,CORPORATIVO LOCAL,COP,TASA FIJA,NACIONAL,R FIJA,TASA FIJA,R FIJA
CDTBPCS0V,CORPORATIVO LOCAL,COP,TASA FIJA,NACIONAL,R FIJA,TASA FIJA,R FIJA
CDTBGAS0V,CORPORATIVO LOCAL,COP,TASA FIJA,NACIONAL,R FIJA,TASA FIJA,R FIJA
CDTLGCS0V,CORPORATIVO LOCAL,COP,TASA FIJA,NACIONAL,R FIJA,TASA FIJA,R FIJA
CDTBSCS5V,CORPORATIVO LOCAL,COP,TASA FIJA,NACIONAL,R FIJA,TASA FIJA,R FIJA
CDTGMAS5V,CORPORATIVO LOCAL,COP,TASA FIJA,NACIONAL,R FIJA,TASA FIJA,R FIJA
CDTITAS5V,CORPORATIVO LOCAL,COP,TASA FIJA,NACIONAL,R FIJA,TASA FIJA,R FIJA
CDTBCB90DP,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
CDTBCB90V,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
CDTCBC90,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
CDTBOC90P,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
CDTIVC90,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
CDTBPO90,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
CDTBBO90,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
CDTFAL90,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
CDTCFC90,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
CDTFDT90P,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
CDTLGC90,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
CDTLSV90P,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
CDTDVI95,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
CDTBPO95,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
CDTBSC95V,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
CDTBGA95V,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
FED5 FCP BLACKSTONECPTLPARTNER,Fondo de Capital Privado,USD,N/A,INTERNACIONAL,R VARIABLE,VARIABLE,R VARIABLE
FED5 FCP CARLYLEASIAPARTNERIII,Fondo de Capital Privado,USD,N/A,INTERNACIONAL,R VARIABLE,VARIABLE,R VARIABLE
FED5 FCP DOVER STREET VIII LLC,Fondo de Capital Privado,USD,N/A,INTERNACIONAL,R VARIABLE,VARIABLE,R VARIABLE
FED5 FCP HARBOURVEST GLOBAL,Fondo de Capital Privado,USD,N/A,INTERNACIONAL,R VARIABLE,VARIABLE,R VARIABLE
FED5 FCP KKR INVESTORS,Fondo de Capital Privado,USD,N/A,INTERNACIONAL,R VARIABLE,VARIABLE,R VARIABLE
FED5 FCP LEXINGTON CAP P VIII,Fondo de Capital Privado,USD,N/A,INTERNACIONAL,R VARIABLE,VARIABLE,R VARIABLE
FED5 FCP MORGANSTANLEYCREDIT,Fondo de Capital Privado,USD,N/A,INTERNACIONAL,R VARIABLE,VARIABLE,R VARIABLE
FED5 FCP MS INFRASTRUC,Fondo de Capital Privado,USD,N/A,INTERNACIONAL,R VARIABLE,VARIABLE,R VARIABLE
FED5 FCP MS PMF V,Fondo de Capital Privado,USD,N/A,INTERNACIONAL,R VARIABLE,VARIABLE,R VARIABLE
FED5 FCP NB CROSSROADS 2010 FU,Fondo de Capital Privado,USD,N/A,INTERNACIONAL,R VARIABLE,VARIABLE,R VARIABLE
FED5 FCP PARTNERS GROUPDIR INV,Fondo de Capital Privado,USD,N/A,INTERNACIONAL,R VARIABLE,VARIABLE,R VARIABLE
FED5 FCP PINEBRIDGE C OPP P-II,Fondo de Capital Privado,USD,N/A,INTERNACIONAL,R VARIABLE,VARIABLE,R VARIABLE
FED5 FCP PINEBRIDGE SEC P- III,Fondo de Capital Privado,USD,N/A,INTERNACIONAL,R VARIABLE,VARIABLE,R VARIABLE
FED5 FCP POMONA,Fondo de Capital Privado,USD,N/A,INTERNACIONAL,R VARIABLE,VARIABLE,R VARIABLE
FED5 FCP POMONA VIII CO INVEST,Fondo de Capital Privado,USD,N/A,INTERNACIONAL,R VARIABLE,VARIABLE,R VARIABLE
FED5 FCP POMONA VIII LP,Fondo de Capital Privado,USD,N/A,INTERNACIONAL,R VARIABLE,VARIABLE,R VARIABLE
FED5 FCP QUILVEST,Fondo de Capital Privado,USD,N/A,INTERNACIONAL,R VARIABLE,VARIABLE,R VARIABLE
FED5 FCP RIVERSTONE,Fondo de Capital Privado,USD,N/A,INTERNACIONAL,R VARIABLE,VARIABLE,R VARIABLE
FEE5 FCP CARLYLE EUROPE P. IV,Fondo de Capital Privado,EUR,N/A,INTERNACIONAL,R VARIABLE,VARIABLE,R VARIABLE
HCOLSEL,Acciones Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
FEP5 CCC INMB PREMIUM ALIANZA,Titularización Inmobiliaria,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
CORL3PT00010,Titularización Inmobiliaria,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
COR23PT00030,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
COR23PT00048,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
COR23PT00055,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
