llave,clase_inversion,moneda,tasa_facial,ubicacion,clasificacion,riesgo
DEPVNBANCO FALABELLA SA                                COPNA,VISTA,COP,NA,NACIONAL,CAJA,No Reporta
DEPVNBANCO DE COMERCIO EXTERIOR DE COLOMBIA SA         COPNA,VISTA,COP,NA,NACIONAL,CAJA,No Reporta
DEPVEBANCO DE BOGOTA NY                                USDNA,VISTA,USD,NA,NACIONAL,CAJA,No Reporta
DEPVEBNY MELLON ASSET SERVICING                        USDNA,MONEY MARKET,USD,NA,INTERNACIONAL,CAJA,No Reporta
DEPVEBNY MELLON ASSET SERVICING                        EURNA,MONEY MARKET,EUR,NA,INTERNACIONAL,CAJA,No Reporta
DEPVEBNY MELLON ASSET SERVICING                        MXNNA,MONEY MARKET,MXN,NA,INTERNACIONAL,CAJA,No Reporta
DEPVEBNY MELLON ASSET SERVICING                        GBPNA,MONEY MARKET,GBP,NA,INTERNACIONAL,CAJA,No Reporta
DEPVNBANCO ITAU CORPBANCA COLOMBIA S A                 COPNA,VISTA,COP,NA,NACIONAL,CAJA,No Reporta
DEPVNBANCO DE BOGOTA S.A.                              COPNA,VISTA,COP,NA,NACIONAL,CAJA,No Reporta
DEPVNBANCOLDEX BANCO DE COMERCIO EXTERIOR DE COLOMBIA  COPNA,VISTA,COP,NA,NACIONAL,CAJA,No Reporta
DEPVNBANCO BILBAO VIZCAYA ARGENTARIA                   COPNA,VISTA,COP,NA,NACIONAL,CAJA,No Reporta
DEPVEBNP PARIBAS SECURITIES CORP NEW YORK              USDNA,MONEY MARKET,USD,NA,NACIONAL,CAJA,No Reporta
DEPVEBNP PARIBAS SECURITIES CORP NEW YORK              EURNA,MONEY MARKET,EUR,NA,NACIONAL,CAJA,No Reporta
DEPVEBNP PARIBAS SECURITIES CORP NEW YORK              JPYNA,MONEY MARKET,JPY,NA,NACIONAL,CAJA,No Reporta
DEPVEBNP PARIBAS SECURITIES CORP NEW YORK              MXNNA,MONEY MARKET,MXN,NA,NACIONAL,CAJA,No Reporta
DEPVEBNP PARIBAS SECURITIES CORP NEW YORK              CADNA,MONEY MARKET,CAD,NA,NACIONAL,CAJA,No Reporta
DEPVECITIBANK NEW YORK                                 USDNA,MONEY MARKET,USD,NA,NACIONAL,CAJA,No Reporta
DEPVEBNP PARIBAS SECURITIES CORP NEW YORK              GBPNA,MONEY MARKET,GBP,NA,INTERNACIONAL,CAJA,No Reporta
CCAFIC ABIERTO EFECTIVO A LA VISTA  FIDUPREVISORA    COPNA,VISTA,COP,NA,NACIONAL,CAJA,No Reporta
DEPVEBROWN BROTHERS HARRIMAN  CO                       AUDNA,MONEY MARKET,AUD,NA,INTERNACIONAL,CAJA,No Reporta
DEPVEBNP PARIBAS SECURITIES CORP NEW YORK              CLPNA,MONEY MARKET,CLP,NA,INTERNACIONAL,CAJA,No Reporta
DEPVEGOLDMAN SACHS  CO                                 USDNA,MONEY MARKET,USD,NA,INTERNACIONAL,CAJA,No Reporta
DEPVEBANCOLOMBIA PANAMA                                USDNA,MONEY MARKET,USD,NA,INTERNACIONAL,CAJA,No Reporta
DEPVNBANCO SANTANDER DE NEGOCIOS COLOMBIA SA           COPNA,VISTA,COP,NA,NACIONAL,CAJA,No Reporta
